0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
1,0,0,3,2,0,2,3,19,71,3,3,2,18,35,0,NaN
1,0,0,1,0,58,19,3,44,1,12,19,3,0,24,14,NaN
0,0,0,0,0,8,5,67,44,1,14,3,18,6,8,3,NaN
2,0,0,0,0,5,5,24,1,7,0,0,1,4,4,1,NaN
0,0,0,0,0,1,71,19,74,22,14,5,0,0,0,3,NaN
0,0,0,0,0,6,0,7,7,43,7,3,4,3,12,1,NaN
0,4,0,0,3,19,10,5,84,7,61,16,1,3,21,0,NaN
0,0,0,1,0,0,0,19,0,15,19,14,0,4,1,18,NaN
0,3,2,1,0,38,0,0,7,10,13,2,9,10,0,0,NaN
1,0,0,0,0,12,1,11,20,10,5,0,1,25,3,0,NaN
0,0,0,9,1,24,13,2,35,37,47,24,9,0,4,1,NaN
0,1,1,0,0,0,42,14,25,19,3,1,30,5,2,45,NaN
0,0,0,2,0,0,30,29,34,5,3,3,2,21,15,5,NaN
0,0,0,1,0,20,36,5,0,14,19,0,19,20,0,24,NaN
0,0,1,0,0,8,0,36,35,8,0,0,8,3,8,2,NaN
0,1,1,0,0,0,28,37,7,7,0,3,10,2,0,14,NaN
1,10,6,1,0,27,19,39,24,17,18,6,2,3,1,1,NaN
1,0,1,0,0,11,23,13,12,2,15,0,1,0,1,15,NaN
0,0,0,1,0,6,4,0,12,14,4,0,1,6,1,0,NaN
0,0,0,0,0,1,3,0,4,17,11,8,0,0,3,2,NaN
0,0,0,1,0,3,29,46,13,29,0,0,2,1,16,5,NaN
0,0,0,0,0,9,4,0,23,0,7,3,36,0,0,7,NaN
0,1,1,0,0,18,35,35,43,6,0,8,6,23,2,25,NaN
0,1,0,1,0,0,38,6,27,13,3,14,2,0,7,0,NaN
1,1,0,0,0,31,37,2,18,7,30,3,2,0,3,0,NaN
0,0,0,2,0,6,13,0,12,9,3,8,2,9,2,13,NaN
0,0,0,4,0,29,0,67,19,0,6,0,5,3,24,6,NaN
0,0,0,0,0,7,40,6,11,17,5,12,1,1,1,0,NaN
0,2,0,0,0,1,59,22,1,1,64,0,1,0,0,1,NaN
11,0,0,3,0,1,2,34,6,30,9,0,3,9,1,0,NaN
0,0,0,0,0,6,2,27,13,25,0,4,2,4,0,20,NaN
0,0,0,0,0,30,1,4,6,0,3,1,1,0,1,1,NaN
0,1,0,0,0,0,9,20,37,1,1,5,3,7,10,16,NaN
0,0,1,3,0,27,16,8,3,24,6,2,1,4,29,11,NaN
0,0,1,0,0,0,1,15,27,7,1,0,51,1,116,0,NaN
0,0,0,3,0,72,0,2,40,29,14,3,1,1,18,2,NaN
0,1,0,1,1,18,0,2,3,8,4,8,0,2,4,2,NaN
0,0,0,0,1,13,13,47,29,1,7,0,0,9,17,4,NaN
0,0,0,0,0,12,0,38,0,0,13,2,0,5,3,6,NaN
0,0,0,0,0,13,14,15,0,50,20,0,4,25,6,11,NaN
0,0,1,1,0,31,24,38,34,9,59,1,11,15,14,1,NaN
0,0,2,1,0,0,45,15,14,22,5,8,5,3,0,33,NaN
0,0,0,0,0,14,54,6,51,0,1,1,12,0,0,9,NaN
1,0,1,0,0,16,14,24,56,1,13,13,3,3,5,2,NaN
2,0,0,0,0,1,0,11,1,13,1,5,5,4,5,2,NaN
0,1,0,0,0,17,3,0,15,1,36,15,2,27,0,9,NaN
0,0,0,2,0,44,0,13,23,9,2,8,15,0,0,14,NaN
0,0,0,3,0,0,23,7,11,43,5,0,1,10,0,0,NaN
0,1,0,0,0,46,2,0,0,11,23,20,1,0,0,13,NaN
0,0,0,0,0,0,23,1,15,14,9,2,0,2,0,1,NaN
1,0,1,0,0,38,5,29,20,2,9,0,6,3,1,2,NaN
0,0,0,2,0,8,11,0,11,20,11,2,21,3,0,9,NaN
0,0,0,0,0,0,1,5,61,1,2,2,4,1,0,0,NaN
3,0,0,1,0,49,10,71,30,0,18,5,4,0,1,0,NaN
0,0,0,0,0,1,44,16,16,7,1,0,0,26,1,11,NaN
0,3,0,1,0,1,0,49,87,0,9,8,0,0,0,7,NaN
0,1,1,0,0,30,1,31,28,13,2,3,0,18,3,0,NaN
0,0,0,1,0,21,7,5,2,23,28,19,7,10,2,0,NaN
0,1,0,0,0,4,10,0,58,6,0,0,8,0,0,1,NaN
0,0,0,0,0,14,2,5,18,37,14,19,1,23,54,0,NaN
0,0,0,0,0,15,19,22,11,30,3,6,0,3,1,0,NaN
0,1,0,0,0,2,0,19,0,10,17,2,1,17,1,0,NaN
1,0,0,0,0,7,17,38,39,14,17,1,1,0,2,2,NaN
0,1,5,1,0,14,20,6,41,9,9,3,0,19,5,3,NaN
