0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,1,0,17,0,24,41,18,8,0,0,2,0,0,NaN
0,NaN,0,0,0,0,75,90,76,61,2,14,0,2,0,0,NaN
0,NaN,0,0,1,1,26,64,50,62,0,4,0,0,0,0,NaN
0,NaN,0,0,3,41,104,14,27,28,2,12,3,0,1,0,NaN
0,NaN,0,0,9,4,11,18,47,45,6,0,11,0,0,0,NaN
0,NaN,0,0,0,2,9,28,89,69,4,16,3,0,0,0,NaN
0,NaN,0,0,1,11,17,2,63,21,0,0,0,5,0,0,NaN
0,NaN,0,0,0,19,0,19,40,5,3,0,0,0,0,0,NaN
0,NaN,0,1,0,0,8,39,53,35,10,4,4,0,0,0,NaN
0,NaN,0,0,0,3,46,58,63,48,7,1,0,0,0,0,NaN
0,NaN,0,0,0,21,14,17,55,47,27,7,0,4,0,10,NaN
0,NaN,0,0,0,16,0,19,62,57,20,17,22,0,0,0,NaN
0,NaN,0,0,0,10,13,8,59,81,1,16,0,0,0,0,NaN
0,NaN,0,0,0,1,0,1,37,50,6,5,0,0,0,0,NaN
0,NaN,0,0,0,23,0,27,40,52,11,0,5,0,0,0,NaN
0,NaN,0,0,0,19,26,44,1,127,3,0,0,0,1,0,NaN
0,NaN,0,0,1,0,1,6,67,51,12,6,4,0,0,1,NaN
0,NaN,0,0,8,5,0,1,57,19,1,5,0,1,0,0,NaN
0,NaN,0,0,0,1,0,33,44,39,4,0,3,0,0,0,NaN
0,NaN,0,0,0,34,2,55,4,29,0,8,0,0,0,0,NaN
0,NaN,0,0,0,0,44,53,8,0,10,6,2,1,0,0,NaN
0,NaN,0,0,0,1,3,22,3,28,0,1,0,0,0,0,NaN
0,NaN,0,0,1,0,0,15,44,2,9,12,0,1,0,0,NaN
0,NaN,0,0,0,0,2,28,31,40,21,8,0,3,0,0,NaN
0,NaN,0,0,3,1,15,26,38,7,0,0,0,3,0,0,NaN
0,NaN,0,0,0,0,0,26,30,10,25,0,0,0,0,0,NaN
8,NaN,0,0,0,12,0,34,34,60,39,1,1,0,0,0,NaN
0,NaN,0,0,0,2,34,53,52,8,16,0,10,0,0,0,NaN
0,NaN,0,0,0,1,4,47,40,82,28,0,0,0,1,0,NaN
0,NaN,0,0,0,0,0,55,38,4,12,0,1,0,0,0,NaN
0,NaN,0,0,0,14,0,20,72,26,0,1,0,0,1,0,NaN
0,NaN,0,1,0,1,6,38,24,39,12,0,0,0,0,0,NaN
0,NaN,0,0,2,0,25,0,19,43,0,2,2,0,0,0,NaN
0,NaN,0,0,0,2,11,65,42,22,2,1,0,0,0,0,NaN
0,NaN,0,0,1,1,0,34,7,36,11,1,8,0,0,0,NaN
0,NaN,0,0,7,0,28,8,49,26,0,1,1,0,0,0,NaN
0,NaN,0,0,0,1,3,7,80,109,8,1,3,1,0,0,NaN
0,NaN,0,0,1,0,20,0,23,20,0,11,4,0,0,0,NaN
0,NaN,0,0,1,11,9,76,19,37,2,1,2,17,0,0,NaN
0,NaN,0,0,5,32,0,21,9,17,11,8,2,0,0,0,NaN
0,NaN,0,0,3,0,25,61,11,36,4,11,15,0,1,0,NaN
0,NaN,0,0,0,28,4,0,86,21,0,0,0,0,0,0,NaN
0,NaN,0,0,0,21,0,48,14,0,19,30,0,0,0,0,NaN
0,NaN,0,0,0,0,43,81,7,42,4,1,0,0,0,0,NaN
0,NaN,0,0,0,7,4,17,26,38,0,0,1,0,0,0,NaN
0,NaN,0,0,0,1,23,4,8,58,15,13,2,0,0,0,NaN
0,NaN,0,0,1,2,2,4,28,9,0,4,0,0,0,1,NaN
0,NaN,0,0,0,0,73,6,39,42,22,1,4,2,1,0,NaN
