0min,NaNmin,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,NaNmin
0,NaN,0,1,0,47,14,58,63,58,1,1,78,21,15,0,NaN
0,NaN,0,1,1,25,18,70,43,33,79,21,49,0,89,0,NaN
0,NaN,0,0,0,1,30,40,107,61,30,17,64,6,15,40,NaN
0,NaN,2,0,0,16,68,0,119,11,79,27,75,6,0,0,NaN
0,NaN,0,0,0,24,34,88,40,27,125,4,102,29,1,5,NaN
1,NaN,1,0,0,28,73,67,5,152,25,125,40,40,20,11,NaN
0,NaN,0,0,0,37,23,0,70,83,65,30,47,20,20,1,NaN
0,NaN,0,2,0,36,10,107,61,91,18,89,4,25,46,25,NaN
0,NaN,0,0,8,0,44,51,110,100,4,82,0,14,16,23,NaN
0,NaN,0,1,0,0,26,38,72,37,35,64,16,1,42,19,NaN
0,NaN,0,0,1,0,4,78,0,52,47,19,2,117,0,4,NaN
0,NaN,0,0,1,59,35,62,71,97,93,138,15,9,7,44,NaN
1,NaN,0,2,0,9,39,75,98,30,4,14,21,62,6,2,NaN
0,NaN,0,0,2,28,1,53,42,51,97,18,15,54,30,2,NaN
0,NaN,0,1,2,5,35,41,132,160,58,76,25,0,4,31,NaN
0,NaN,0,1,2,0,46,26,53,85,26,0,84,10,14,2,NaN
1,NaN,1,0,2,0,7,0,32,123,56,30,115,62,14,50,NaN
0,NaN,2,0,0,59,62,75,103,85,101,8,137,2,2,4,NaN
0,NaN,0,0,0,14,30,1,38,75,24,74,73,0,3,0,NaN
0,NaN,3,0,2,9,35,70,53,8,30,0,139,8,2,20,NaN
0,NaN,0,0,0,66,36,104,78,184,25,92,62,26,15,20,NaN
0,NaN,0,0,0,0,1,112,13,52,116,9,128,83,4,1,NaN
0,NaN,0,0,0,5,19,18,68,100,104,19,53,3,5,0,NaN
0,NaN,0,1,12,56,10,0,70,137,29,93,26,59,8,2,NaN
1,NaN,0,0,0,16,57,107,142,84,3,62,41,25,2,75,NaN
0,NaN,0,0,0,0,43,38,90,93,136,10,6,47,14,0,NaN
0,NaN,0,0,15,19,0,22,91,144,92,54,2,21,19,10,NaN
2,NaN,0,0,0,1,49,56,68,132,75,78,72,37,7,30,NaN
0,NaN,0,3,3,4,53,10,13,33,31,111,77,5,0,0,NaN
0,NaN,0,0,4,4,65,81,90,61,17,120,38,61,46,43,NaN
0,NaN,1,0,0,1,0,1,40,3,51,121,4,88,61,15,NaN
0,NaN,0,0,1,11,5,46,54,64,69,94,88,7,0,16,NaN
0,NaN,0,0,0,2,8,54,84,183,30,113,30,24,3,4,NaN
0,NaN,0,0,14,7,34,26,60,51,47,2,50,3,11,10,NaN
0,NaN,0,0,1,1,58,21,36,53,156,17,60,55,10,0,NaN
0,NaN,1,0,15,9,1,142,143,53,125,0,27,7,1,0,NaN
0,NaN,1,0,2,34,45,56,110,55,17,165,49,23,0,0,NaN
0,NaN,0,0,4,0,0,107,88,120,68,51,25,88,0,0,NaN
0,NaN,0,0,0,23,43,41,24,81,41,14,15,40,2,11,NaN
0,NaN,0,0,0,6,85,14,103,68,34,25,5,0,3,3,NaN
0,NaN,0,0,8,3,12,35,136,113,86,72,63,0,0,98,NaN
0,NaN,0,0,5,30,1,22,53,115,2,150,161,26,8,25,NaN
0,NaN,0,0,1,16,11,50,63,55,52,119,57,3,40,0,NaN
0,NaN,0,0,1,0,35,54,42,41,39,120,64,53,12,0,NaN
0,NaN,1,1,17,6,2,117,58,131,135,3,16,23,1,2,NaN
0,NaN,0,0,1,49,65,57,133,81,62,86,112,60,1,5,NaN
0,NaN,1,0,7,47,25,21,62,70,41,131,109,42,3,4,NaN
0,NaN,1,0,0,23,30,52,117,68,33,131,88,55,10,9,NaN
0,NaN,1,0,1,50,21,18,42,44,94,128,2,13,42,5,NaN
0,NaN,0,0,1,14,17,28,90,117,59,3,17,6,2,18,NaN
0,NaN,1,1,1,27,57,100,104,79,3,115,14,14,43,25,NaN
1,NaN,0,0,0,0,0,104,171,74,106,77,27,0,2,41,NaN
0,NaN,0,0,1,0,80,50,137,48,64,29,1,38,8,8,NaN
0,NaN,0,0,0,3,28,22,76,120,15,44,4,23,20,0,NaN
0,NaN,0,0,1,30,33,80,57,57,38,14,6,21,0,4,NaN
0,NaN,0,0,0,7,38,17,24,74,46,63,10,73,33,26,NaN
0,NaN,0,0,0,1,88,70,14,71,69,10,5,107,14,7,NaN
0,NaN,2,0,0,0,70,58,110,26,29,84,13,25,20,11,NaN
0,NaN,0,0,1,1,60,1,47,35,108,36,128,28,12,3,NaN
0,NaN,0,0,0,5,35,1,32,99,28,39,44,24,20,44,NaN
1,NaN,0,0,0,37,0,14,58,160,51,38,44,29,2,0,NaN
18,NaN,0,1,7,0,0,6,60,169,108,123,26,71,1,28,NaN
0,NaN,0,0,1,13,1,42,106,6,122,232,3,22,0,21,NaN
0,NaN,0,1,17,27,22,19,42,130,1,71,51,0,13,60,NaN
0,NaN,1,0,13,15,8,0,82,185,30,11,6,36,90,3,NaN
1,NaN,0,1,0,3,5,33,103,110,19,22,21,0,7,64,NaN
0,NaN,0,1,5,39,74,60,54,140,140,18,1,43,28,0,NaN
0,NaN,0,0,0,5,66,97,76,125,46,10,177,9,1,1,NaN
0,NaN,0,0,0,17,53,38,70,9,101,6,145,0,0,2,NaN
0,NaN,0,0,1,1,0,90,28,119,52,149,19,43,4,20,NaN
0,NaN,0,0,0,10,1,16,29,122,23,5,21,130,6,3,NaN
2,NaN,0,0,0,8,4,36,164,127,33,88,6,10,62,25,NaN
0,NaN,1,0,0,4,47,0,26,137,46,36,57,12,0,3,NaN
0,NaN,0,0,0,28,65,75,23,45,69,62,110,20,9,22,NaN
0,NaN,0,0,22,12,1,79,65,87,106,46,75,82,15,79,NaN
0,NaN,0,1,1,0,47,18,91,37,27,28,164,12,12,0,NaN
2,NaN,0,0,0,10,18,81,144,131,62,83,159,31,7,32,NaN
0,NaN,0,0,0,15,12,44,44,55,113,20,6,0,4,0,NaN
0,NaN,0,0,0,24,3,88,79,27,99,45,30,6,1,40,NaN
0,NaN,0,0,0,46,2,70,29,52,74,9,65,128,23,47,NaN
0,NaN,0,0,1,0,16,18,28,100,87,107,47,15,22,15,NaN
0,NaN,0,0,21,0,20,20,108,24,17,95,41,6,4,0,NaN
0,NaN,1,0,0,0,25,24,72,23,120,185,33,57,10,9,NaN
12,NaN,0,0,8,0,22,17,35,25,29,132,44,19,121,4,NaN
0,NaN,2,0,6,3,1,10,58,21,15,14,98,9,5,79,NaN
0,NaN,0,0,0,5,55,137,154,77,37,110,41,13,32,1,NaN
0,NaN,0,0,1,0,1,29,17,22,116,15,7,4,57,6,NaN
0,NaN,0,0,1,8,1,19,12,11,15,99,27,12,20,0,NaN
1,NaN,1,3,1,2,8,0,37,53,85,146,87,0,10,7,NaN
0,NaN,0,0,2,11,1,19,62,13,10,61,79,8,0,3,NaN
1,NaN,0,0,2,0,1,83,76,0,36,5,96,10,14,2,NaN
0,NaN,1,1,1,70,53,25,18,98,71,88,2,3,0,15,NaN
0,NaN,2,1,5,22,16,20,61,39,26,19,34,25,3,82,NaN
0,NaN,0,0,0,44,18,20,25,45,1,28,114,48,2,0,NaN
0,NaN,0,1,0,6,30,67,83,118,71,0,25,1,39,101,NaN
0,NaN,0,0,21,0,6,16,123,15,67,27,37,12,1,1,NaN
3,NaN,0,0,0,15,22,6,20,85,141,15,6,71,13,86,NaN
2,NaN,1,0,2,13,86,12,60,98,29,81,40,16,31,6,NaN
1,NaN,2,0,1,10,8,65,74,56,83,5,0,24,0,0,NaN
0,NaN,0,0,1,25,79,39,39,137,18,39,42,131,24,11,NaN
0,NaN,0,0,3,4,52,23,84,99,69,26,39,27,2,110,NaN
0,NaN,0,0,0,0,97,31,68,92,0,1,77,5,0,3,NaN
0,NaN,0,0,1,40,62,28,4,0,52,60,30,5,0,16,NaN
0,NaN,0,0,0,1,18,130,183,60,16,8,105,0,1,8,NaN
1,NaN,2,0,18,2,49,15,59,72,52,32,63,1,12,13,NaN
0,NaN,1,0,0,36,20,45,39,24,42,81,64,23,1,6,NaN
0,NaN,0,0,34,2,46,74,12,56,64,169,16,3,17,0,NaN
1,NaN,9,0,1,10,29,4,135,128,106,53,7,0,31,31,NaN
0,NaN,0,2,1,2,0,32,119,36,87,38,48,184,43,24,NaN
0,NaN,4,0,7,10,28,22,169,2,114,18,63,0,3,10,NaN
2,NaN,0,0,2,5,19,9,24,73,64,41,11,1,2,2,NaN
0,NaN,0,0,3,0,0,15,105,0,86,14,23,2,0,3,NaN
0,NaN,1,0,3,4,0,31,56,57,53,106,37,21,12,0,NaN
0,NaN,1,1,7,0,18,93,103,16,272,86,18,85,1,7,NaN
0,NaN,0,0,0,35,43,12,111,149,33,24,29,21,13,1,NaN
1,NaN,0,0,1,0,41,19,159,37,107,128,4,72,0,12,NaN
0,NaN,0,0,0,2,54,28,55,101,74,22,52,57,0,20,NaN
0,NaN,0,0,0,8,9,1,38,27,53,31,13,128,1,42,NaN
0,NaN,1,0,0,29,49,16,24,80,31,111,38,8,69,0,NaN
0,NaN,1,0,0,3,9,0,44,24,103,47,8,62,0,16,NaN
2,NaN,0,0,1,10,0,91,47,60,109,211,196,53,96,5,NaN
0,NaN,0,1,1,16,3,7,166,101,108,11,2,124,14,5,NaN
0,NaN,0,0,0,0,38,21,40,45,138,56,10,9,5,31,NaN
0,NaN,0,0,0,2,31,4,81,42,8,63,17,0,22,8,NaN
0,NaN,1,0,2,1,78,20,82,42,72,16,7,56,0,4,NaN
0,NaN,0,0,0,2,48,9,65,124,116,10,0,31,7,7,NaN
0,NaN,0,1,1,14,36,15,89,49,79,54,23,14,2,5,NaN
0,NaN,1,0,0,24,4,4,46,18,47,46,5,30,26,1,NaN
0,NaN,2,0,0,18,91,11,20,140,87,66,25,24,21,0,NaN
0,NaN,0,0,0,10,4,0,100,192,44,60,33,38,0,0,NaN
0,NaN,0,0,13,9,1,61,131,99,112,71,126,11,2,57,NaN
0,NaN,0,0,2,20,0,19,159,16,117,62,6,3,1,1,NaN
0,NaN,0,0,1,15,64,18,110,45,155,3,116,26,5,5,NaN
0,NaN,0,1,0,24,11,0,30,60,151,4,10,7,0,2,NaN
0,NaN,0,0,2,0,2,14,82,97,24,82,15,25,18,45,NaN
0,NaN,1,0,4,4,48,27,8,95,99,46,0,11,30,0,NaN
0,NaN,0,0,0,9,50,21,37,51,166,0,0,169,6,10,NaN
0,NaN,0,0,0,14,17,13,77,0,39,102,5,9,76,0,NaN
0,NaN,1,0,24,7,27,14,165,73,71,102,0,1,4,4,NaN
0,NaN,0,0,0,16,30,10,180,4,8,40,11,31,0,4,NaN
1,NaN,1,0,9,8,35,71,110,47,105,91,42,53,1,35,NaN
0,NaN,0,0,2,0,46,52,57,16,213,6,104,33,1,0,NaN
0,NaN,2,0,3,0,57,6,69,25,2,25,85,57,7,2,NaN
0,NaN,1,0,0,1,1,13,54,32,30,8,69,12,2,1,NaN
5,NaN,0,0,0,21,22,25,92,55,54,19,19,6,0,1,NaN
0,NaN,2,0,4,10,16,103,120,10,163,108,6,1,13,17,NaN
0,NaN,0,0,4,21,13,42,143,92,47,145,98,65,0,3,NaN
0,NaN,0,1,0,2,37,21,69,217,176,39,38,17,0,1,NaN
0,NaN,1,0,18,29,0,20,85,128,53,60,4,82,30,0,NaN
0,NaN,1,0,0,1,15,34,98,108,38,8,62,1,5,52,NaN
0,NaN,1,0,0,1,19,28,102,102,181,144,19,56,0,27,NaN
0,NaN,0,0,0,49,59,115,37,119,75,7,84,46,10,23,NaN
0,NaN,0,0,0,0,64,6,118,47,45,41,72,4,17,6,NaN
0,NaN,0,0,0,12,48,9,16,108,42,145,35,71,22,32,NaN
0,NaN,0,0,2,3,93,49,63,65,57,65,63,63,14,3,NaN
0,NaN,0,0,8,76,22,8,120,66,63,30,61,42,30,5,NaN
1,NaN,0,0,0,25,18,41,66,95,30,35,39,119,1,2,NaN
0,NaN,0,0,13,0,13,70,106,66,29,121,68,20,23,1,NaN
0,NaN,0,1,11,4,0,34,48,117,62,78,21,48,2,3,NaN
0,NaN,0,0,1,16,41,17,83,47,92,33,18,0,7,0,NaN
0,NaN,0,0,1,10,14,32,80,54,114,27,6,6,5,0,NaN
0,NaN,1,0,0,1,23,13,39,110,189,7,42,0,1,0,NaN
0,NaN,1,0,0,36,22,55,0,69,52,2,20,0,5,1,NaN
0,NaN,0,0,0,3,24,23,25,53,17,36,111,179,3,1,NaN
0,NaN,0,0,2,1,41,47,122,55,54,48,12,22,0,1,NaN
0,NaN,0,0,1,32,18,49,12,61,63,117,5,28,5,38,NaN
1,NaN,0,0,0,8,6,25,46,72,72,12,22,90,40,60,NaN
0,NaN,0,0,0,21,32,24,18,99,56,79,19,9,38,23,NaN
0,NaN,0,2,0,33,17,115,168,147,77,13,48,59,0,2,NaN
1,NaN,2,0,0,3,32,23,20,181,46,56,43,4,0,53,NaN
0,NaN,0,0,0,33,1,62,51,111,17,0,87,6,31,41,NaN
0,NaN,0,0,23,6,64,6,66,96,67,89,26,10,27,2,NaN
0,NaN,0,0,1,19,17,15,91,81,16,0,52,2,44,1,NaN
0,NaN,0,0,0,16,6,119,25,143,188,12,63,6,8,2,NaN
0,NaN,0,0,11,5,0,62,35,54,145,28,52,68,0,18,NaN
1,NaN,0,0,2,7,0,65,111,138,13,17,40,21,1,12,NaN
1,NaN,0,0,0,17,15,2,47,155,55,106,1,6,0,2,NaN
0,NaN,0,0,3,0,23,79,70,4,107,12,65,0,8,1,NaN
0,NaN,1,0,0,4,47,78,81,2,1,34,104,8,0,4,NaN
0,NaN,0,0,11,23,1,22,53,13,86,28,83,2,5,1,NaN
0,NaN,0,0,0,8,60,24,35,76,134,0,81,5,0,0,NaN
0,NaN,0,0,0,0,17,125,48,47,39,109,6,7,46,2,NaN
1,NaN,1,0,0,4,48,20,39,3,86,94,97,10,68,23,NaN
1,NaN,0,0,0,10,5,27,180,0,57,55,25,21,15,69,NaN
0,NaN,0,0,10,31,39,62,53,67,74,105,23,0,0,3,NaN
1,NaN,0,0,0,17,45,6,73,133,39,40,111,37,86,2,NaN
0,NaN,0,0,0,0,22,10,59,64,90,160,57,38,1,8,NaN
1,NaN,1,0,1,10,13,78,169,136,46,68,0,0,11,31,NaN
0,NaN,0,0,0,23,52,5,103,104,88,152,24,30,4,19,NaN
0,NaN,0,0,0,18,10,78,33,65,13,51,22,0,0,41,NaN
0,NaN,0,0,0,39,5,25,81,95,103,3,79,49,18,78,NaN
0,NaN,0,1,0,1,2,79,43,125,137,57,75,10,36,0,NaN
0,NaN,0,1,35,10,3,5,9,79,80,91,86,19,19,13,NaN
0,NaN,0,2,2,53,7,27,119,58,67,163,34,5,1,1,NaN
0,NaN,0,0,1,10,18,43,62,1,99,100,56,65,7,1,NaN
0,NaN,0,0,2,1,32,33,159,28,134,66,15,24,10,66,NaN
0,NaN,0,0,0,1,1,8,51,25,164,62,91,26,0,119,NaN
0,NaN,0,0,1,14,61,59,40,39,39,93,76,4,15,1,NaN
0,NaN,0,0,0,40,1,16,97,198,54,14,163,271,1,0,NaN
1,NaN,1,1,0,51,25,46,45,112,9,17,15,11,3,4,NaN
1,NaN,0,0,1,17,9,1,74,0,27,5,92,19,0,2,NaN
0,NaN,0,0,0,37,65,34,17,122,121,0,7,55,6,83,NaN
1,NaN,0,0,1,30,1,35,83,64,23,131,28,8,8,14,NaN
0,NaN,0,0,0,0,17,59,40,110,23,102,20,33,3,9,NaN
0,NaN,0,0,0,32,63,27,62,47,38,23,24,2,1,38,NaN
0,NaN,0,0,0,3,0,33,27,29,77,127,23,8,0,0,NaN
0,NaN,1,1,7,57,0,20,26,21,72,114,58,8,1,1,NaN
0,NaN,0,0,2,0,3,21,37,99,15,30,10,61,24,25,NaN
0,NaN,1,0,0,13,48,84,156,108,59,101,12,8,86,0,NaN
1,NaN,0,1,2,0,22,25,35,63,2,16,11,6,5,34,NaN
1,NaN,0,0,4,15,1,5,14,6,22,24,81,7,89,3,NaN
0,NaN,1,0,9,2,0,23,71,26,43,103,34,46,28,6,NaN
0,NaN,0,0,0,20,1,46,36,1,226,47,87,40,0,70,NaN
0,NaN,0,0,4,2,42,89,31,57,24,58,18,9,4,21,NaN
0,NaN,0,0,2,1,47,28,97,47,120,110,107,0,2,3,NaN
1,NaN,1,0,0,28,39,26,20,1,77,94,16,26,46,1,NaN
0,NaN,2,0,0,2,37,20,135,147,62,49,67,22,5,0,NaN
0,NaN,0,0,2,0,52,34,22,26,3,43,5,66,23,14,NaN
0,NaN,1,0,0,15,29,23,36,216,74,178,50,39,0,85,NaN
0,NaN,0,0,0,0,0,90,101,200,32,115,184,18,2,5,NaN
0,NaN,0,0,0,1,3,67,116,70,15,65,94,81,6,7,NaN
0,NaN,0,1,2,53,38,22,71,45,39,8,207,1,1,50,NaN
0,NaN,1,0,8,52,33,8,107,43,109,124,0,0,4,21,NaN
0,NaN,0,2,0,0,7,10,110,153,82,108,4,1,0,5,NaN
0,NaN,1,0,0,1,1,48,135,59,58,42,30,75,3,3,NaN
0,NaN,0,1,20,1,6,34,13,110,51,25,24,6,5,118,NaN
0,NaN,0,0,1,19,38,44,120,141,96,26,1,17,22,3,NaN
0,NaN,0,0,6,9,18,58,34,148,103,110,13,0,15,1,NaN
0,NaN,0,0,4,0,53,39,90,139,18,76,170,16,0,60,NaN
0,NaN,0,0,0,8,10,67,75,83,60,35,43,10,3,42,NaN
0,NaN,0,0,9,46,3,31,65,86,60,63,65,63,0,38,NaN
0,NaN,0,0,12,6,28,31,50,99,97,4,124,29,17,92,NaN
0,NaN,2,0,0,52,35,5,77,120,122,34,16,20,0,29,NaN
0,NaN,2,0,1,1,69,71,66,52,0,31,118,28,0,24,NaN
0,NaN,2,0,0,1,90,57,76,97,1,21,58,34,0,7,NaN
0,NaN,0,0,14,14,0,11,116,106,57,34,105,34,3,21,NaN
0,NaN,0,0,0,12,40,30,50,7,28,32,21,2,2,8,NaN
0,NaN,0,0,0,14,4,41,22,116,10,5,70,25,0,11,NaN
0,NaN,1,0,1,23,6,68,44,107,66,5,64,2,0,0,NaN
0,NaN,1,0,3,6,17,17,52,48,22,1,64,0,6,28,NaN
1,NaN,83,0,7,0,44,67,71,16,23,94,126,38,1,4,NaN
0,NaN,17,0,6,18,1,8,38,103,32,123,17,1,2,48,NaN
0,NaN,1,0,0,35,0,38,36,130,58,21,157,34,2,5,NaN
0,NaN,0,0,0,42,8,95,61,16,8,28,38,8,4,5,NaN
0,NaN,0,0,0,10,25,60,96,14,15,19,14,0,17,23,NaN
6,NaN,1,1,0,25,5,101,33,16,181,61,9,80,0,8,NaN
0,NaN,39,0,0,12,47,18,60,131,43,15,11,10,29,17,NaN
0,NaN,0,0,3,2,20,14,135,22,23,108,33,5,6,0,NaN
0,NaN,0,0,0,0,55,4,50,134,0,77,44,53,0,1,NaN
0,NaN,0,0,1,31,46,14,98,65,7,61,10,14,17,24,NaN
1,NaN,0,0,8,0,1,34,99,0,53,45,44,0,3,2,NaN
0,NaN,0,0,19,25,22,59,18,28,97,93,20,29,5,0,NaN
0,NaN,2,0,0,3,57,23,55,21,52,6,54,101,13,1,NaN
0,NaN,2,0,1,6,42,10,231,47,113,29,55,0,1,2,NaN
0,NaN,0,0,6,1,25,80,115,149,74,46,74,20,53,19,NaN
0,NaN,0,1,0,19,29,91,129,32,28,1,2,68,4,0,NaN
0,NaN,0,0,0,47,25,11,91,44,45,42,30,21,1,20,NaN
0,NaN,1,0,1,12,15,44,153,14,62,57,23,1,12,3,NaN
0,NaN,0,0,0,6,53,64,66,164,32,128,9,6,24,1,NaN
0,NaN,2,1,1,4,19,20,58,103,127,6,85,69,61,17,NaN
0,NaN,0,0,0,3,8,45,46,111,13,63,22,59,6,10,NaN
0,NaN,0,0,0,0,31,36,27,140,51,108,3,7,0,2,NaN
1,NaN,1,2,3,22,33,79,152,80,37,37,95,24,1,0,NaN
0,NaN,0,1,0,3,38,93,86,171,30,3,10,0,18,1,NaN
