0min,1min,2min,4min,6min,8min,10min,15min,20min,25min,30min,35min,40min,45min,50min,55min,60min
0,1,0,NaN,0,NaN,38,27,86,NaN,34,42,185,NaN,1,0,35
0,1,0,NaN,0,NaN,0,0,31,NaN,45,6,30,NaN,91,11,14
0,0,0,NaN,0,NaN,1,8,48,NaN,20,88,55,NaN,18,0,34
0,2,0,NaN,0,NaN,47,33,98,NaN,63,66,68,NaN,10,0,28
0,0,0,NaN,0,NaN,22,30,30,NaN,126,15,155,NaN,214,0,78
0,0,1,NaN,1,NaN,23,0,99,NaN,64,56,62,NaN,53,0,27
0,1,0,NaN,0,NaN,6,44,36,NaN,36,9,27,NaN,5,2,0
0,4,0,NaN,0,NaN,4,16,99,NaN,32,64,58,NaN,19,0,3
0,2,0,NaN,0,NaN,22,75,37,NaN,65,48,66,NaN,9,2,7
1,3,0,NaN,0,NaN,35,15,106,NaN,92,91,33,NaN,0,0,30
0,0,0,NaN,1,NaN,1,11,117,NaN,103,14,82,NaN,48,0,25
0,0,0,NaN,9,NaN,0,26,55,NaN,43,84,226,NaN,132,2,5
0,0,0,NaN,1,NaN,56,40,49,NaN,81,95,126,NaN,61,83,50
5,0,0,NaN,3,NaN,11,37,49,NaN,89,36,69,NaN,92,68,4
1,1,0,NaN,1,NaN,13,42,66,NaN,65,118,12,NaN,113,8,5
1,1,0,NaN,37,NaN,21,53,150,NaN,126,27,38,NaN,105,47,9
0,1,0,NaN,6,NaN,15,0,72,NaN,74,78,48,NaN,51,52,13
0,1,0,NaN,0,NaN,4,45,74,NaN,103,79,29,NaN,6,7,1
0,0,0,NaN,0,NaN,7,0,37,NaN,79,23,40,NaN,20,26,8
0,0,0,NaN,18,NaN,19,20,39,NaN,114,82,41,NaN,7,8,30
0,0,8,NaN,13,NaN,58,22,84,NaN,108,47,106,NaN,40,1,12
1,1,0,NaN,4,NaN,15,30,50,NaN,40,42,29,NaN,132,61,79
0,0,2,NaN,0,NaN,2,18,15,NaN,134,18,52,NaN,69,13,10
0,0,0,NaN,0,NaN,17,56,112,NaN,50,19,125,NaN,16,5,11
0,2,7,NaN,0,NaN,27,71,55,NaN,77,49,24,NaN,113,2,0
0,0,0,NaN,0,NaN,20,31,69,NaN,70,78,93,NaN,5,6,12
1,0,0,NaN,0,NaN,39,10,56,NaN,48,63,87,NaN,111,10,3
0,0,NaN,NaN,2,NaN,26,NaN,69,NaN,126,14,71,NaN,0,46,2
6,0,NaN,NaN,0,NaN,35,NaN,82,NaN,108,28,90,NaN,37,0,13
2,0,NaN,NaN,1,NaN,0,NaN,158,NaN,57,21,126,NaN,1,102,23
0,0,NaN,NaN,9,NaN,14,NaN,73,NaN,144,11,89,NaN,25,10,7
1,4,NaN,NaN,2,NaN,0,NaN,53,NaN,0,46,34,NaN,52,6,19
0,0,NaN,NaN,11,NaN,24,NaN,53,NaN,61,124,57,NaN,46,30,0
0,0,NaN,NaN,1,NaN,42,NaN,62,NaN,95,89,0,NaN,38,58,4
0,0,NaN,NaN,0,NaN,8,NaN,36,NaN,108,94,89,NaN,2,43,17
1,1,NaN,NaN,11,NaN,33,NaN,61,NaN,104,6,55,NaN,50,2,42
1,1,NaN,NaN,0,NaN,36,NaN,57,NaN,24,46,2,NaN,10,47,1
